Customer Account SAP NUMBER,INVOICE NUMBER,Document Date,Amount in doc. curr.,Document currency,Tax Code
7401360,???2023000076924,25/06/2023,-40.00,TRY,V3
7401360,???2023000076923,25/06/2023,-60.00,TRY,V3
7401271,YLP2023000058859,23/06/2023,-630.12,TRY,V3
7401271,YLP2023000059012,23/06/2023,-630.12,TRY,V3
7401362,IT12023000000494,23/06/2023,"-1,105.33",TRY,V3
7401362,IT12023000000484,23/06/2023,"-3,315.98",TRY,V3
502790,???2023000000230,22/06/2023,"-2,877.31",TRY,84
502790,???2023000000229,22/06/2023,"-39,225.83",TRY,84
502790,???2023000000228,22/06/2023,"-21,202.65",TRY,84
7401362,IT12023000000481,21/06/2023,"-1,096.76",TRY,V3
7401510,??12023000171948,21/06/2023,"-26,000.00",TRY,V2
502790,???2023000000223,19/06/2023,"-9,253.31",TRY,V3
7401271,YLP2023000056512,19/06/2023,"-1,260.24",TRY,V3
7401271,YLP2023000056511,19/06/2023,"-1,260.24",TRY,V3
7401286,CSA2023000140854,19/06/2023,-375.00,USD,V0
7401286,CSA2023000139418,16/06/2023,-375.00,USD,V0
7401362,??12023000000461,16/06/2023,"-11,984.10",TRY,V3
7401952,?FA2023000000493,16/06/2023,-236.00,TRY,V3
7401271,YLP2023000055340,15/06/2023,"-10,570.16",TRY,V0
7401286,???2023000138377,15/06/2023,-375.00,USD,V0
7401510,??22023000020856,15/06/2023,"-7,090.45",TRY,**
7402184,MED2023000004357,13/06/2023,"-3,156.00",USD,V0
502790,??12023000000215,12/06/2023,"-11,172.28",TRY,V3
7401955,?EE2023000000139,10/06/2023,"-12,960.00",TRY,V2
7401362,??12023000000439,09/06/2023,"-1,064.35",TRY,V3
7401486,GID2023000000457,09/06/2023,"-8,942.04",TRY,V3
7401271,YLP2023000052963,08/06/2023,"-10,546.35",TRY,V0
502790,OAI2023000000211,07/06/2023,"-2,569.22",TRY,84
502790,OAI2023000000212,07/06/2023,"-45,302.46",TRY,84
502790,OAI2023000000213,07/06/2023,"-49,081.97",TRY,84
502790,??12023000000205,06/06/2023,"-22,531.82",TRY,V3
502790,???2023000000206,06/06/2023,"-27,730.00",TRY,V3
7401360,?512023000094162,06/06/2023,"-12,348.00",TRY,**
161161,20038169,05/06/2023,-66.50,USD,V0
7401286,???2023000128665,05/06/2023,-375.00,USD,V0
7401295,TER2023000004463,05/06/2023,"-1,324.24",TRY,V3

